Rating,Date,Review
5,"Dec, 2022",very good processor price range run like butterrecemmond liquid cooling msiz pro wifi k ddr mhz k one thingyou dont need discrete graphic card itit come intel uhd graphic
5,"Jul, 2022",original product box came sealed tested everything processor genuine ddr memory maximum frequency processor support mhz
3,"Aug, 2022",box wa little mushed delivery wa time original product
5,"May, 2023",amazing processor intel blazingly fast went nehru place scout k processor nobody could give deal better got flipkart thanks flipkart seller quick delivery original seal packed processor
1,"Nov, 2022",overheating
5,9 months ago,really impressive performance bought sale k worth
